policy,device_count,failed_percentage,throughput,service_time,processing_time,network_delay,edge_utilization,cloud_utilization,overhead_ns,completed_tasks,failed_tasks,total_tasks
LACES,200,0.28601244540640824,30.713095,0.641146,0.489458,0.151688,0.692354,0.27953,2715.002666872802,25799.0,74.0,25873.0
LACES,400,0.3051589129433441,61.839286,0.729882,0.575858,0.154024,1.742809,0.593289,2633.097420543528,51945.0,159.0,52104.0
LACES,600,0.396223579401839,86.786905,0.788391,0.626239,0.162152,2.727469,0.761074,3001.930688199369,72901.0,290.0,73191.0
LACES,800,0.41796443283432133,117.992857,0.873676,0.705509,0.168167,4.32011,1.087919,3839.183733547674,99114.0,416.0,99530.0
LACES,1000,0.40628952945808516,141.533333,0.900118,0.72737,0.172749,5.415388,1.311745,4511.486198721654,118888.0,485.0,119373.0
LACES,1200,0.44704171491665096,176.033333,1.021126,0.838079,0.183047,7.808365,1.474832,5986.576192335659,147868.0,664.0,148532.0
LACES,1400,0.5377666472876884,211.816667,1.131124,0.937779,0.193345,10.556927,1.96443,8974.605602388086,177926.0,962.0,178888.0
LACES,1600,0.5670957053651077,241.505952,1.219829,1.014856,0.204972,13.106663,2.227517,13678.62703531972,202865.0,1157.0,204022.0
LACES,1800,0.8781573092527156,270.496429,1.416772,1.152724,0.264048,16.552972,3.702685,18605.319360467653,227217.0,2013.0,229230.0
LACES_MAB,200,0.33873228469085814,30.472619,0.646456,0.438186,0.20827,0.612176,0.341275,3563.6945958573433,25597.0,87.0,25684.0
LACES_MAB,400,0.37593984962406013,59.309524,0.691914,0.471102,0.220812,1.297939,0.588591,3667.267917133259,49820.0,188.0,50008.0
LACES_MAB,600,0.38059117611956134,89.430952,0.782115,0.507694,0.274421,2.261985,1.064765,4230.1361906403745,75122.0,287.0,75409.0
LACES_MAB,800,0.4139574330600541,117.421429,0.830444,0.572616,0.257828,3.474473,1.314765,4937.32037276362,98634.0,410.0,99044.0
LACES_MAB,1000,0.6077509053823419,142.125,0.873922,0.594205,0.279717,4.359899,1.576846,5582.91249219498,119385.0,730.0,120115.0
LACES_MAB,1200,1.110622460566995,179.35119,0.977897,0.673194,0.304703,6.29698,2.027852,7246.585938679462,150655.0,1692.0,152347.0
LACES_MAB,1400,1.970238873694326,205.240476,1.053062,0.722448,0.330613,7.840484,2.70302,8647.926575196028,172402.0,3465.0,175867.0
LACES_MAB,1600,2.4446950465242208,233.77619,1.177169,0.821453,0.355716,9.970278,4.922819,11674.042102805362,196372.0,4921.0,201293.0
LACES_MAB,1800,3.112376055820786,263.825,1.365039,1.005651,0.359388,14.294463,6.302013,18623.48506986342,221613.0,7119.0,228732.0
LACES_WILL,200,0.038350910834132314,31.029762,0.139483,0.101157,0.038326,0.012464,0.491611,2640.2449856184085,26065.0,10.0,26075.0
LACES_WILL,400,0.10082438764011624,60.157143,0.151205,0.111313,0.039892,0.049976,0.986577,2277.8344305399046,50532.0,51.0,50583.0
LACES_WILL,600,0.07158102972564943,91.405952,0.167614,0.126391,0.041223,0.114693,1.511074,3076.4344317767714,76781.0,55.0,76836.0
LACES_WILL,800,0.11124585333587228,118.652381,0.256554,0.214079,0.042474,0.256232,4.57047,4223.986730674791,99668.0,111.0,99779.0
LACES_WILL,1000,0.37875709153567305,145.914286,0.73694,0.694427,0.042513,0.497963,18.958389,7900.593047450298,122568.0,466.0,123034.0
LACES_WILL,1200,0.7082743104741271,184.414286,1.369665,1.328785,0.04088,1.555369,41.271477,11118.374513662324,154908.0,1105.0,156013.0
LACES_WILL,1400,0.8030041407520411,211.328571,1.672297,1.632919,0.039378,3.39813,54.798658,17769.883433080195,177516.0,1437.0,178953.0
LACES_WILL,1600,0.9752561040405595,237.403571,1.91283,1.874844,0.037986,5.13243,66.402013,22646.43547369937,199419.0,1964.0,201383.0
LACES_WILL,1800,0.945372580217449,266.810714,1.995284,1.958193,0.037092,7.790508,71.97047,33322.30986475736,224121.0,2139.0,226260.0
